# === Training Log ===

## METADATA (JSON)
{
  "model_class": "Model",
  "model_module": "__main__",
  "model_str": "Model(\n  (net): Sequential(\n    (0): Linear(in_features=2, out_features=5, bias=True)\n    (1): Tanh()\n    (2): Linear(in_features=5, out_features=5, bias=True)\n    (3): Tanh()\n    (4): Linear(in_features=5, out_features=1, bias=True)\n  )\n)",
  "num_parameters": 51,
  "num_trainable_parameters": 51,
  "optimizer_class": "Adam",
  "optimizer_module": "torch.optim.adam",
  "optimizer_params": {
    "amsgrad": false,
    "betas": [
      0.9,
      0.999
    ],
    "capturable": false,
    "decoupled_weight_decay": false,
    "differentiable": false,
    "eps": 1e-08,
    "foreach": null,
    "fused": null,
    "lr": 0.001,
    "maximize": false,
    "weight_decay": 1e-06
  },
  "stopped": false
}

## BEGIN TRAIN DATA
       iteration            loss        residual        boundary         initial   observational             mse             mae
    4.300000e+01    8.896984e-02    3.935278e-02    3.668899e-02    0.000000e+00    1.292807e-02    1.475193e-02    9.846181e-02
    4.400000e+01    8.540319e-02    3.699657e-02    3.648223e-02    0.000000e+00    1.192439e-02    1.061571e-02    7.762312e-02
    4.500000e+01    8.520552e-02    3.588994e-02    3.699386e-02    0.000000e+00    1.232172e-02    1.181778e-02    7.979029e-02
    4.600000e+01    8.250887e-02    3.572557e-02    3.443745e-02    0.000000e+00    1.234586e-02    1.029082e-02    7.180513e-02
    4.700000e+01    8.008579e-02    3.547497e-02    3.293120e-02    0.000000e+00    1.167963e-02    1.152712e-02    7.762086e-02
    4.800000e+01    7.854900e-02    3.539472e-02    3.219593e-02    0.000000e+00    1.095835e-02    1.160291e-02    7.840788e-02
    4.900000e+01    7.845993e-02    3.448108e-02    3.148999e-02    0.000000e+00    1.248885e-02    1.099943e-02    7.557093e-02
    5.000000e+01    7.565827e-02    3.274054e-02    3.170443e-02    0.000000e+00    1.121331e-02    1.278250e-02    8.186799e-02
    5.100000e+01    7.432164e-02    3.278445e-02    3.089340e-02    0.000000e+00    1.064378e-02    1.116143e-02    7.785477e-02
    5.200000e+01    7.163748e-02    3.197628e-02    2.895631e-02    0.000000e+00    1.070489e-02    1.050953e-02    7.545760e-02
    5.300000e+01    7.231327e-02    3.248528e-02    2.870506e-02    0.000000e+00    1.112293e-02    1.308243e-02    8.725788e-02
    5.400000e+01    7.045439e-02    3.124408e-02    2.862155e-02    0.000000e+00    1.058876e-02    9.337084e-03    6.917944e-02
    5.500000e+01    6.830787e-02    3.079970e-02    2.730111e-02    0.000000e+00    1.020707e-02    9.444753e-03    7.007638e-02
    5.600000e+01    6.605512e-02    3.077493e-02    2.586960e-02    0.000000e+00    9.410585e-03    1.041851e-02    7.488012e-02
    5.700000e+01    6.604502e-02    3.023886e-02    2.603653e-02    0.000000e+00    9.769628e-03    1.012243e-02    7.337166e-02
    5.800000e+01    6.475688e-02    2.866874e-02    2.655672e-02    0.000000e+00    9.531422e-03    8.871432e-03    6.920010e-02
    5.900000e+01    6.228705e-02    2.952866e-02    2.424798e-02    0.000000e+00    8.510406e-03    8.809274e-03    7.201460e-02
    6.000000e+01    6.184546e-02    2.917707e-02    2.370618e-02    0.000000e+00    8.962208e-03    6.768012e-03    5.980093e-02
    6.100000e+01    6.025203e-02    2.903746e-02    2.329940e-02    0.000000e+00    7.915171e-03    8.241755e-03    6.840216e-02
    6.200000e+01    5.828238e-02    2.772239e-02    2.314329e-02    0.000000e+00    7.416701e-03    6.758423e-03    6.316948e-02
    6.300000e+01    5.431353e-02    2.636530e-02    2.083551e-02    0.000000e+00    7.112723e-03    6.490681e-03    6.331502e-02
    6.400000e+01    5.332162e-02    2.666202e-02    1.968062e-02    0.000000e+00    6.978977e-03    5.354889e-03    5.553979e-02
    6.500000e+01    5.073794e-02    2.625527e-02    1.882105e-02    0.000000e+00    5.661618e-03    5.581199e-03    5.652827e-02
    6.600000e+01    4.930895e-02    2.633022e-02    1.718767e-02    0.000000e+00    5.791064e-03    6.414579e-03    6.307193e-02
    6.700000e+01    5.088059e-02    2.683281e-02    1.826987e-02    0.000000e+00    5.777909e-03    5.602826e-03    5.825989e-02
    6.800000e+01    4.693608e-02    2.467436e-02    1.697238e-02    0.000000e+00    5.289334e-03    5.403198e-03    5.771788e-02
    6.900000e+01    4.749558e-02    2.625866e-02    1.607449e-02    0.000000e+00    5.162421e-03    4.596476e-03    5.298252e-02
    7.000000e+01    4.476393e-02    2.534501e-02    1.462822e-02    0.000000e+00    4.790698e-03    4.505182e-03    5.332227e-02
    7.100000e+01    4.298313e-02    2.466993e-02    1.402819e-02    0.000000e+00    4.285019e-03    4.115824e-03    4.992610e-02
    7.200000e+01    4.146415e-02    2.427620e-02    1.327750e-02    0.000000e+00    3.910448e-03    3.356938e-03    4.524598e-02
    7.300000e+01    4.215377e-02    2.466685e-02    1.314992e-02    0.000000e+00    4.336996e-03    4.331687e-03    5.177454e-02
    7.400000e+01    4.172901e-02    2.446537e-02    1.304394e-02    0.000000e+00    4.219694e-03    5.053024e-03    5.606568e-02
